Rama de la Entidad;Sector de la Entidad;Entidad;Proveedor;Agregacion;Ciudad;Total
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Arios Colombia S.A.S.;Aseo y Cafetería II;Bogotá;46325885
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A;Grandes Superficies;Bogotá;29091000
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;CONALCREDITOS  CONALCENTER BPO;Centro de contacto;Bogotá;3119559592
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;CONALCREDITOS  CONALCENTER BPO;Servicios BPO;Bogotá;10457419419
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;CONSERJES INMOBILIARIOS LTDA;Aseo y Cafetería II;Bogotá;41644345
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Controles Empresariales S.A.S.;Microsoft II;Bogotá;1659822791
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Controles Empresariales S.A.S.;Microsoft;Bogotá;517220840
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Crear de Colombia S.A.S.;Consumibles de Impresión;Bogotá;2167259
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Dispapeles S.A.S.;Derivados del papel carton y corrugado;Bogotá;120949423
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;EASYCLEAN G&E S.A.S;Aseo y Cafetería II;Bogotá;1223638590
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;ESRI COLOMBIA SAS;ArcGIS;Bogotá;1810000000
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Falabella de Colombia S.A.;Grandes Superficies;Bogotá;11130000
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;IFX Networks Colombia SAS;Conectividad II;Bogotá;164718524
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Institucional Star Services Ltda.;Papelería y útiles de oficina II;Bogotá;185991641
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;La Previsora S.A.;Seguros de Vehículos;Bogotá;16534013
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;La Previsora S.A.;SOAT II;Bogotá;2526347
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;LADOINSA LABORES DOTACIONES INDUSTRIALES S.A.S;Aseo y Cafetería II;Bogotá;901550601
